group,_bin,mem_mb,cpu_pct_1core,,
parsl,686,3086.21,1206.525,30862.1,3619.575
parsl,688,4748.75,803.349,47487.5,2410.047
parsl,690,11091.33,2013.048,110913.3,6039.144
parsl,692,6786.25,2024.955,67862.5,6074.865
parsl,694,3775.04,1512.093,37750.4,4536.279
parsl,696,6876.91,1042.119,68769.1,3126.357
parsl,698,9963.48,2557.227,99634.8,7671.681
parsl,700,7270.7,2359.116,72707,7077.348
parsl,702,4643.05,1574.988,46430.5,4724.964
parsl,704,6424.1,710.184,64241,2130.552
parsl,706,10658.01,2090.193,106580.1,6270.579
parsl,708,7366.02,1826.472,73660.2,5479.416
parsl,710,3517.23,957.825,35172.3,2873.475
parsl,712,772.293,562.404,7722.93,1687.212
parsl,714,240.703,391.245,2407.03,1173.735
parsl,716,471.34,407.161,4713.4,1221.483
parsl,718,742.066,664.511,7420.66,1993.533
parsl,720,685.852,799.414,6858.52,2398.242
parsl,722,320.738,1334.909,3207.38,4004.727
parsl,724,506.242,455.884,5062.42,1367.652
parsl,726,749.727,527.373,7497.27,1582.119
parsl,728,986.574,421.686,9865.74,1265.058
parsl,730,707.473,871.861,7074.73,2615.583
parsl,732,315.195,737.383,3151.95,2212.149
parsl,734,951.863,840.281,9518.63,2520.843
parsl,736,1762.688,636.935,17626.88,1910.805
parsl,738,730.527,784.772,7305.27,2354.316
parsl,740,533.531,1053.311,5335.31,3159.933
parsl,742,1152.25,394.303,11522.5,1182.909
parsl,744,1270.359,564.852,12703.59,1694.556
parsl,746,213.293,907.256,2132.93,2721.768
parsl,748,406.574,795.103,4065.74,2385.309
parsl,750,852.562,954.144,8525.62,2862.432
parsl,752,691.086,1280.376,6910.86,3841.128
parsl,754,442.145,717.143,4421.45,2151.429
parsl,756,442.145,351.787,4421.45,1055.361
parsl,758,942.305,564.892,9423.05,1694.676
parsl,760,1030.031,969.963,10300.31,2909.889
parsl,762,315.949,470.043,3159.49,1410.129
parsl,764,531.867,1091.136,5318.67,3273.408
parsl,766,904.039,856.437,9040.39,2569.311
parsl,768,1090.043,1120.441,10900.43,3361.323
parsl,770,724.34,626.45,7243.4,1879.35
parsl,772,660.438,397.401,,
parsl,774,848.684,661.877,,
parsl,776,1980.492,530.339,,
parsl,778,717.871,770.208,,
parsl,780,517.961,406.34,,
parsl,782,1456.07,928.332,,
parsl,784,2402.129,783.663,,
parsl,786,,962.293,,
parsl,788,,440.209,,
parsl,790,,313.274,,
parsl,792,,287.456,,
parsl,794,,875.322,,
parsl,796,,499.188,,
parsl,798,,1054.858,,
parsl,800,,368.469,,
parsl,802,,694.563,,
parsl,804,,410.302,,
parsl,806,,543.558,,
parsl,808,,395.416,,
parsl,810,,729.319,,
parsl,812,,796.751,,
parsl,814,,733.691,,
parsl,816,,604.969,,
parsl,818,,848.726,,
parsl,820,,503.908,,
parsl,822,,,,
parsl,824,,,,
parsl,826,,,,
parsl,828,,,,
parsl,830,,,,
parsl,832,,,,
parsl,834,,,,
parsl,836,,,,
parsl,838,,,,
parsl,840,,,,
parsl,842,,,,
parsl,844,,,,
parsl,846,,,,
parsl,848,,,,
parsl,850,,,,
parsl,852,,,,
parsl,854,,,,
parsl,856,,,,
parsl,858,,,,
parsl,860,,,,
parsl,862,,,,
parsl,864,,,,
parsl,866,,,,
parsl,868,,,,
parsl,870,,,,
parsl,872,,,,
parsl,874,,,,
parsl,876,,,,
parsl,878,,,,
parsl,880,,,,
parsl,882,,,,
parsl,884,,,,
parsl,886,,,,
parsl,888,,,,
parsl,890,,,,
parsl,892,,,,
parsl,894,,,,
parsl,896,,,,
parsl,898,,,,
parsl,900,,,,
parsl,902,,,,
parsl,904,,,,
parsl,906,,,,
parsl,908,,,,
parsl,910,,,,
parsl,912,,,,
parsl,914,,,,
parsl,916,,,,
parsl,918,,,,
parsl,920,,,,
parsl,922,,,,
parsl,924,,,,
parsl,926,,,,
parsl,928,,,,
parsl,930,,,,
parsl,932,,,,
parsl,934,,,,
parsl,936,,,,
parsl,938,,,,
parsl,940,,,,
parsl,942,,,,
parsl,944,,,,
parsl,946,,,,
parsl,948,,,,
parsl,950,,,,
parsl,952,,,,
parsl,954,,,,
parsl,956,,,,
parsl,958,,,,
parsl,960,,,,
parsl,962,,,,
parsl,964,,,,
parsl,966,,,,
parsl,968,,,,
parsl,970,,,,
parsl,972,,,,
parsl,974,,,,
parsl,976,,,,
parsl,978,,,,
parsl,980,,,,
parsl,982,,,,
parsl,984,,,,
parsl,986,,,,
